,count_floors_pre_eq,age,area_percentage,height_percentage,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,count_families,has_secondary_use,has_secondary_use_agriculture,has_secondary_use_hotel,has_secondary_use_rental,has_secondary_use_institution,has_secondary_use_school,has_secondary_use_industry,has_secondary_use_health_post,has_secondary_use_gov_office,has_secondary_use_use_police,has_secondary_use_other,damage_grade
count_floors_pre_eq,1.0,0.087,0.101,0.773,0.175,-0.027,-0.041,-0.011,0.257,-0.086,-0.057,-0.07,0.007,0.049,-0.03,0.087,0.052,-0.005,0.077,0.035,0.016,0.009,-0.003,0.007,0.01,0.004,-0.002,0.122
age,0.087,1.0,-0.004,0.061,0.068,0.001,0.009,-0.012,0.08,-0.037,0.006,-0.008,-0.025,-0.026,-0.002,0.005,-0.009,-0.002,-0.01,0.001,-0.004,-0.004,-0.004,-0.002,-0.002,-0.001,-0.005,0.029
area_percentage,0.101,-0.004,1.0,0.197,0.026,-0.226,-0.0,0.074,0.053,0.211,-0.054,-0.032,0.185,0.225,0.008,0.089,0.122,-0.016,0.16,0.106,0.052,0.05,0.019,0.015,0.015,0.005,0.013,-0.125
height_percentage,0.773,0.061,0.197,1.0,0.15,-0.107,-0.02,0.013,0.209,0.002,-0.052,-0.063,0.086,0.13,-0.019,0.064,0.092,-0.005,0.124,0.069,0.031,0.02,0.002,0.011,0.015,0.004,0.005,0.048
has_superstructure_adobe_mud,0.175,0.068,0.026,0.15,1.0,-0.307,0.007,-0.015,0.315,-0.038,0.012,0.012,-0.037,-0.037,0.058,0.033,-0.013,-0.004,-0.013,-0.004,-0.004,-0.002,0.002,-0.003,-0.003,-0.001,-0.01,0.055
has_superstructure_mud_mortar_stone,-0.027,0.001,-0.226,-0.107,-0.307,1.0,-0.034,-0.104,-0.376,-0.471,-0.04,-0.055,-0.222,-0.225,-0.042,0.002,-0.088,0.058,-0.16,-0.118,-0.036,-0.023,-0.026,-0.009,-0.012,-0.003,0.006,0.291
has_superstructure_stone_flag,-0.041,0.009,-0.0,-0.02,0.007,-0.034,1.0,0.037,-0.033,-0.044,0.125,0.078,0.008,-0.021,0.066,0.005,-0.002,0.011,-0.009,-0.012,-0.001,-0.001,-0.004,-0.003,0.003,0.0,0.002,0.066
has_superstructure_cement_mortar_stone,-0.011,-0.012,0.074,0.013,-0.015,-0.104,0.037,1.0,-0.002,0.079,0.014,-0.004,0.076,0.025,0.012,-0.006,0.042,-0.016,0.072,0.034,0.008,0.006,0.007,0.004,0.013,0.005,0.014,-0.06
has_superstructure_mud_mortar_brick,0.257,0.08,0.053,0.209,0.315,-0.376,-0.033,-0.002,1.0,0.031,-0.001,-0.0,-0.029,-0.027,0.026,0.032,-0.01,-0.039,0.025,0.018,-0.002,-0.0,0.011,0.001,-0.003,-0.001,-0.005,0.015
has_superstructure_cement_mortar_brick,-0.086,-0.037,0.211,0.002,-0.038,-0.471,-0.044,0.079,0.031,1.0,-0.059,-0.055,0.139,0.121,-0.006,-0.015,0.077,-0.054,0.14,0.11,0.032,0.02,0.026,0.009,0.007,0.005,0.0,-0.254
has_superstructure_timber,-0.057,0.006,-0.054,-0.052,0.012,-0.04,0.125,0.014,-0.001,-0.059,1.0,0.438,-0.027,-0.069,0.104,-0.002,-0.023,0.003,-0.028,-0.027,-0.005,-0.004,-0.001,-0.005,-0.004,-0.003,-0.014,-0.07
has_superstructure_bamboo,-0.07,-0.008,-0.032,-0.063,0.012,-0.055,0.078,-0.004,-0.0,-0.055,0.438,1.0,0.02,-0.037,0.117,0.0,-0.022,0.004,-0.031,-0.019,-0.005,-0.004,-0.003,-0.004,-0.003,-0.003,-0.009,-0.063
has_superstructure_rc_non_engineered,0.007,-0.025,0.185,0.086,-0.037,-0.222,0.008,0.076,-0.029,0.139,-0.027,0.02,1.0,-0.012,-0.019,-0.014,0.108,-0.023,0.158,0.103,0.036,0.021,0.015,0.008,0.005,0.002,0.001,-0.158
has_superstructure_rc_engineered,0.049,-0.026,0.225,0.13,-0.037,-0.225,-0.021,0.025,-0.027,0.121,-0.069,-0.037,-0.012,1.0,-0.01,-0.014,0.104,-0.03,0.14,0.131,0.05,0.025,0.005,0.012,0.032,0.005,0.008,-0.179
has_superstructure_other,-0.03,-0.002,0.008,-0.019,0.058,-0.042,0.066,0.012,0.026,-0.006,0.104,0.117,-0.019,-0.01,1.0,0.001,-0.0,-0.006,0.008,0.0,-0.003,0.001,-0.001,0.001,-0.001,-0.001,0.006,-0.03
count_families,0.087,0.005,0.089,0.064,0.033,0.002,0.005,-0.006,0.032,-0.015,-0.002,0.0,-0.014,-0.014,0.001,1.0,-0.055,-0.041,-0.035,0.023,-0.022,-0.02,-0.021,-0.011,-0.005,-0.014,-0.017,0.056
has_secondary_use,0.052,-0.009,0.122,0.092,-0.013,-0.088,-0.002,0.042,-0.01,0.077,-0.023,-0.022,0.108,0.104,-0.0,-0.055,1.0,0.739,0.526,0.255,0.086,0.054,0.092,0.039,0.034,0.026,0.202,-0.08
has_secondary_use_agriculture,-0.005,-0.002,-0.016,-0.005,-0.004,0.058,0.011,-0.016,-0.039,-0.054,0.003,0.004,-0.023,-0.03,-0.006,-0.041,0.739,1.0,-0.049,-0.024,-0.008,-0.005,-0.009,-0.004,-0.003,-0.002,0.085,0.011
has_secondary_use_hotel,0.077,-0.01,0.16,0.124,-0.013,-0.16,-0.009,0.072,0.025,0.14,-0.028,-0.031,0.158,0.14,0.008,-0.035,0.526,-0.049,1.0,-0.017,-0.006,-0.004,-0.006,-0.003,-0.002,-0.002,0.004,-0.098
has_secondary_use_rental,0.035,0.001,0.106,0.069,-0.004,-0.118,-0.012,0.034,0.018,0.11,-0.027,-0.019,0.103,0.131,0.0,0.023,0.255,-0.024,-0.017,1.0,-0.003,-0.002,-0.003,-0.001,-0.001,-0.001,0.003,-0.084
has_secondary_use_institution,0.016,-0.004,0.052,0.031,-0.004,-0.036,-0.001,0.008,-0.002,0.032,-0.005,-0.005,0.036,0.05,-0.003,-0.022,0.086,-0.008,-0.006,-0.003,1.0,-0.001,-0.001,-0.0,-0.0,-0.0,0.005,-0.029
has_secondary_use_school,0.009,-0.004,0.05,0.02,-0.002,-0.023,-0.001,0.006,-0.0,0.02,-0.004,-0.004,0.021,0.025,0.001,-0.02,0.054,-0.005,-0.004,-0.002,-0.001,1.0,-0.001,-0.0,-0.0,-0.0,0.001,-0.012
has_secondary_use_industry,-0.003,-0.004,0.019,0.002,0.002,-0.026,-0.004,0.007,0.011,0.026,-0.001,-0.003,0.015,0.005,-0.001,-0.021,0.092,-0.009,-0.006,-0.003,-0.001,-0.001,1.0,-0.0,-0.0,-0.0,0.004,-0.011
has_secondary_use_health_post,0.007,-0.002,0.015,0.011,-0.003,-0.009,-0.003,0.004,0.001,0.009,-0.005,-0.004,0.008,0.012,0.001,-0.011,0.039,-0.004,-0.003,-0.001,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.001,-0.009
has_secondary_use_gov_office,0.01,-0.002,0.015,0.015,-0.003,-0.012,0.003,0.013,-0.003,0.007,-0.004,-0.003,0.005,0.032,-0.001,-0.005,0.034,-0.003,-0.002,-0.001,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.004,-0.009
has_secondary_use_use_police,0.004,-0.001,0.005,0.004,-0.001,-0.003,0.0,0.005,-0.001,0.005,-0.003,-0.003,0.002,0.005,-0.001,-0.014,0.026,-0.002,-0.002,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.001,-0.002
has_secondary_use_other,-0.002,-0.005,0.013,0.005,-0.01,0.006,0.002,0.014,-0.005,0.0,-0.014,-0.009,0.001,0.008,0.006,-0.017,0.202,0.085,0.004,0.003,0.005,0.001,0.004,-0.001,0.004,-0.001,1.0,-0.016
