,dtype
building_id,int64
geo_level_1_id,int64
geo_level_2_id,int64
geo_level_3_id,int64
count_floors_pre_eq,int64
age,int64
area_percentage,int64
height_percentage,int64
land_surface_condition,object
foundation_type,object
roof_type,object
ground_floor_type,object
other_floor_type,object
position,object
plan_configuration,object
has_superstructure_adobe_mud,int64
has_superstructure_mud_mortar_stone,int64
has_superstructure_stone_flag,int64
has_superstructure_cement_mortar_stone,int64
has_superstructure_mud_mortar_brick,int64
has_superstructure_cement_mortar_brick,int64
has_superstructure_timber,int64
has_superstructure_bamboo,int64
has_superstructure_rc_non_engineered,int64
has_superstructure_rc_engineered,int64
has_superstructure_other,int64
legal_ownership_status,object
count_families,int64
has_secondary_use,int64
has_secondary_use_agriculture,int64
has_secondary_use_hotel,int64
has_secondary_use_rental,int64
has_secondary_use_institution,int64
has_secondary_use_school,int64
has_secondary_use_industry,int64
has_secondary_use_health_post,int64
has_secondary_use_gov_office,int64
has_secondary_use_use_police,int64
has_secondary_use_other,int64
damage_grade,int64
