,missing_pct
building_id,0.0
geo_level_1_id,0.0
has_superstructure_bamboo,0.0
has_superstructure_rc_non_engineered,0.0
has_superstructure_rc_engineered,0.0
has_superstructure_other,0.0
legal_ownership_status,0.0
count_families,0.0
has_secondary_use,0.0
has_secondary_use_agriculture,0.0
has_secondary_use_hotel,0.0
has_secondary_use_rental,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
has_secondary_use_use_police,0.0
has_secondary_use_other,0.0
has_superstructure_timber,0.0
has_superstructure_cement_mortar_brick,0.0
has_superstructure_mud_mortar_brick,0.0
foundation_type,0.0
geo_level_2_id,0.0
geo_level_3_id,0.0
count_floors_pre_eq,0.0
age,0.0
area_percentage,0.0
height_percentage,0.0
land_surface_condition,0.0
roof_type,0.0
has_superstructure_cement_mortar_stone,0.0
ground_floor_type,0.0
other_floor_type,0.0
position,0.0
plan_configuration,0.0
has_superstructure_adobe_mud,0.0
has_superstructure_mud_mortar_stone,0.0
has_superstructure_stone_flag,0.0
damage_grade,0.0
