,count,mean,std,min,1%,25%,50%,75%,99%,max,skew
count_floors_pre_eq,260601.0,2.1297232167182782,0.7276645452862875,1.0,1.0,2.0,2.0,2.0,4.0,9.0,0.834
age,260601.0,26.535028645323695,73.56593652272696,0.0,0.0,10.0,15.0,30.0,100.0,995.0,12.192
area_percentage,260601.0,8.018050583075276,4.392230935895033,1.0,2.0,5.0,7.0,9.0,23.0,100.0,3.526
height_percentage,260601.0,5.43436517895173,1.918418220748101,2.0,2.0,4.0,5.0,6.0,11.0,32.0,1.808
has_superstructure_adobe_mud,260601.0,0.08864509345704737,0.2842313333667077,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.895
has_superstructure_mud_mortar_stone,260601.0,0.7619349119918957,0.42589998582739036,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.23
has_superstructure_stone_flag,260601.0,0.03433217831090441,0.1820813199181413,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.115
has_superstructure_cement_mortar_stone,260601.0,0.0182347726984931,0.13379960560280324,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.201
has_superstructure_mud_mortar_brick,260601.0,0.06815399787414476,0.2520104643681007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.427
has_superstructure_cement_mortar_brick,260601.0,0.07526832207090534,0.26382431436665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.22
has_superstructure_timber,260601.0,0.2549875096411756,0.4358550315592004,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.124
has_superstructure_bamboo,260601.0,0.08501118568232663,0.27889887499366356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.976
has_superstructure_rc_non_engineered,260601.0,0.042590013085137816,0.2019313258031788,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.53
has_superstructure_rc_engineered,260601.0,0.015859494015755888,0.12493210299103429,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.751
has_superstructure_other,260601.0,0.014984593305474653,0.12149120094756959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.984
count_families,260601.0,0.9839486417933929,0.4183889778596041,0.0,0.0,1.0,1.0,1.0,2.0,9.0,1.635
has_secondary_use,260601.0,0.11187984696912137,0.31521917469565647,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.463
has_secondary_use_agriculture,260601.0,0.06437811059819418,0.24542575375903228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.55
has_secondary_use_hotel,260601.0,0.03362611808857219,0.18026515738052473,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.174
has_secondary_use_rental,260601.0,0.008100506137735466,0.0896377084173382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.975
has_secondary_use_institution,260601.0,0.0009401345351706249,0.030647255772934662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.568
has_secondary_use_school,260601.0,0.0003607046788001581,0.018988837630753624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.625
has_secondary_use_industry,260601.0,0.0010706021849494053,0.032702600809919095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.513
has_secondary_use_health_post,260601.0,0.00018802690703412496,0.0137110274704731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.907
has_secondary_use_gov_office,260601.0,0.00014581678504687243,0.012074604837137199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.795
has_secondary_use_use_police,260601.0,8.825752779152804e-05,0.009394151214500896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.431
has_secondary_use_other,260601.0,0.005118936611908626,0.0713635245921135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.869
